Geneid	Chr	Start	End	Strand	Length	BF1	BF2	BF3	BF4	BF5	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5
NFRAN_RS00145	NZ_LR216287.1	35580	35822	+	243	35	11	17	17	14	17	6	10	32	33
NFRAN_RS00150	NZ_LR216287.1	36013	36258	+	246	99	59	56	39	38	55	58	70	21	108
NFRAN_RS00155	NZ_LR216287.1	36313	36507	+	195	47	12	34	20	37	37	27	49	56	38
NFRAN_RS00160	NZ_LR216287.1	36762	36968	-	207	1116	516	1238	1144	737	613	731	696	571	819
NFRAN_RS00165	NZ_LR216287.1	36994	37725	-	732	2201	1636	2774	2978	2263	1641	1570	1638	1506	2034
NFRAN_RS00170	NZ_LR216287.1	37953	38531	+	579	1312	1238	1317	1307	1776	2482	2372	2182	3192	3139
NFRAN_RS00175	NZ_LR216287.1	38862	40064	+	1203	998	1094	1018	1092	1044	1501	1205	1253	1623	2337
NFRAN_RS00180	NZ_LR216287.1	40195	40416	+	222	70	32	44	85	98	75	35	59	90	124
NFRAN_RS00185	NZ_LR216287.1	40810	41277	-	468	1527	1687	1617	1508	1578	1565	1384	1406	1596	1898
NFRAN_RS00190	NZ_LR216287.1	43029	43442	-	414	355	374	396	491	409	390	381	297	484	460
NFRAN_RS00195	NZ_LR216287.1	43500	44300	+	801	345	518	467	441	336	349	313	329	413	441
NFRAN_RS00200	NZ_LR216287.1	44679	45260	+	582	719	1477	786	1205	1412	1795	2511	1708	2172	2450
NFRAN_RS00205	NZ_LR216287.1	45398	45616	+	219	100	134	83	114	192	193	231	213	244	392
NFRAN_RS00210	NZ_LR216287.1	45732	46016	+	285	219	324	273	324	300	283	297	205	339	324
NFRAN_RS00215	NZ_LR216287.1	46687	47646	+	960	4	0	9	16	24	9	22	16	6	21
NFRAN_RS00220	NZ_LR216287.1	48023	48340	-	318	14	12	20	6	10	18	25	18	10	28
NFRAN_RS00225	NZ_LR216287.1	48869	50335	+	1467	1210	1426	1563	1389	1109	1198	1027	1049	1178	1487
NFRAN_RS00230	NZ_LR216287.1	50369	50584	-	216	616	928	1190	1304	814	773	880	855	999	960
NFRAN_RS13435	NZ_LR216287.1	51315	51473	-	159	4	24	22	10	34	20	8	12	40	20
NFRAN_RS00235	NZ_LR216287.1	52338	53021	-	684	1306	1248	1007	1023	1179	1568	1626	1826	2132	2675
NFRAN_RS00240	NZ_LR216287.1	53714	54940	+	1227	12184	11304	14524	11904	9124	8843	8184	7408	9391	11722
NFRAN_RS00245	NZ_LR216287.1	56049	56654	-	606	0	0	2	0	0	8	6	0	0	13
NFRAN_RS13440	NZ_LR216287.1	57550	57711	+	162	3085	4098	4366	4152	3353	1847	2296	2465	2277	2332
NFRAN_RS00250	NZ_LR216287.1	58466	58780	-	315	144	140	153	162	255	293	306	337	364	613
NFRAN_RS00255	NZ_LR216287.1	58996	59397	-	402	688	476	820	903	731	931	883	666	969	1115
NFRAN_RS13385	NZ_LR216287.1	59991	60188	-	198	69	145	72	113	99	114	140	112	134	263
NFRAN_RS00260	NZ_LR216287.1	60799	61377	+	579	19182	18200	21437	21745	18290	19324	17667	19443	22596	24719
NFRAN_RS00265	NZ_LR216287.1	61634	62374	+	741	3127	3484	3115	3304	3725	5068	4419	4342	5759	6002
NFRAN_RS00270	NZ_LR216287.1	62587	63795	+	1209	1178	909	1590	1601	1376	1519	1416	1443	1760	1697
NFRAN_RS00275	NZ_LR216287.1	63925	64770	+	846	1982	2309	2706	2669	3135	3452	2878	3082	3125	3991
NFRAN_RS00280	NZ_LR216287.1	64816	65655	+	840	1841	1928	2507	2219	2353	2864	2245	2394	3497	3884
NFRAN_RS00285	NZ_LR216287.1	65835	66089	-	255	10	10	16	11	13	6	0	4	8	2
NFRAN_RS00290	NZ_LR216287.1	66371	66517	+	147	24	46	26	34	50	17	10	12	9	32
NFRAN_RS00295	NZ_LR216287.1	66512	66712	-	201	214	267	283	201	346	303	313	333	383	509
NFRAN_RS00300	NZ_LR216287.1	66751	67116	-	366	167	256	235	195	288	361	291	366	480	661
NFRAN_RS00305	NZ_LR216287.1	67327	67548	-	222	10	22	28	6	36	15	12	28	39	22
NFRAN_RS00310	NZ_LR216287.1	68459	70801	+	2343	20316	20663	18102	24409	17538	17368	20410	22756	24503	28063
NFRAN_RS00315	NZ_LR216287.1	70836	72068	-	1233	3440	3429	3375	4190	3177	3304	3521	3286	3885	4227
NFRAN_RS00320	NZ_LR216287.1	72321	72977	-	657	162	182	144	159	141	135	151	152	128	150
NFRAN_RS00325	NZ_LR216287.1	73142	73933	+	792	3862	3292	3413	3846	4765	7194	6072	6021	6956	9269
NFRAN_RS00330	NZ_LR216287.1	73939	74475	+	537	684	794	882	730	1040	1249	1096	1059	1216	1519
NFRAN_RS00335	NZ_LR216287.1	74500	74886	+	387	8460	11056	11688	10737	14209	12630	11991	11517	16541	17006
NFRAN_RS00340	NZ_LR216287.1	74948	75631	+	684	3083	2701	4018	4453	4038	4727	3752	3994	4877	6743
NFRAN_RS00345	NZ_LR216287.1	75647	77836	+	2190	19803	17625	19453	17338	17546	19379	18672	18704	25485	25394
NFRAN_RS00350	NZ_LR216287.1	77923	79371	+	1449	15714	12942	17145	15486	13984	13790	13052	12586	15199	17827
NFRAN_RS00355	NZ_LR216287.1	79404	79721	+	318	1112	1173	1592	1337	1479	1340	1235	1117	1466	1944
NFRAN_RS00360	NZ_LR216287.1	79738	80184	-	447	1975	1688	2861	2150	2517	2322	1884	2174	2145	3194
NFRAN_RS00365	NZ_LR216287.1	80231	81967	-	1737	24764	20442	22955	19384	19052	17904	15970	17047	22226	24429
NFRAN_RS00370	NZ_LR216287.1	82073	82906	-	834	1969	1930	2154	2316	2523	2246	2132	2150	2590	2799
NFRAN_RS00375	NZ_LR216287.1	82893	83786	-	894	11604	11797	13401	12188	13199	10759	10492	11013	12286	14880
NFRAN_RS00380	NZ_LR216287.1	84372	84446	+	75	6	20	23	4	13	8	10	12	26	23
NFRAN_RS00385	NZ_LR216287.1	84752	85477	-	726	347	413	484	424	601	687	700	688	695	940
NFRAN_RS00390	NZ_LR216287.1	85703	86392	+	690	450	697	530	463	608	754	703	511	746	948
NFRAN_RS00395	NZ_LR216287.1	86511	87224	-	714	1847	1903	2061	1704	2312	2693	2387	2330	3013	3673
NFRAN_RS00400	NZ_LR216287.1	87258	88610	-	1353	11978	9964	11442	10670	12509	14842	12784	12600	15648	15527
NFRAN_RS00405	NZ_LR216287.1	88867	89247	+	381	3400	4125	3817	3751	4690	4797	4548	4320	6391	6310
NFRAN_RS00410	NZ_LR216287.1	89391	90617	+	1227	15804	15369	16137	15632	13559	15798	14288	13533	16235	17502
NFRAN_RS00415	NZ_LR216287.1	90814	91800	+	987	651	755	797	915	1199	1511	1194	1288	1528	2412
NFRAN_RS00420	NZ_LR216287.1	91931	92917	+	987	5855	6399	5003	5863	7196	7256	7256	6716	6856	10672
NFRAN_RS00425	NZ_LR216287.1	92977	93471	-	495	1580	1267	1952	2309	2038	1564	1475	1320	1561	1831
NFRAN_RS00430	NZ_LR216287.1	93559	94977	-	1419	11450	11499	11407	10823	12725	15631	12680	15747	18750	20263
NFRAN_RS00435	NZ_LR216287.1	95007	95312	-	306	6531	8037	7169	5667	7268	9977	7636	8712	10280	11622
NFRAN_RS00440	NZ_LR216287.1	95424	97223	+	1800	1255	1239	1189	1082	1736	2133	1933	2042	2441	2968
NFRAN_RS00445	NZ_LR216287.1	97252	97806	+	555	2113	2059	2342	2195	1933	2126	1940	1957	2116	2310
NFRAN_RS00450	NZ_LR216287.1	98029	99003	-	975	1454	2057	2021	2200	2688	2949	2614	2927	2968	4423
NFRAN_RS00455	NZ_LR216287.1	99106	100353	-	1248	13816	14169	16753	12637	11578	11798	12090	10700	14139	15403
NFRAN_RS00460	NZ_LR216287.1	100343	101587	-	1245	10729	8463	13035	11344	9180	7984	7190	5969	7142	8468
NFRAN_RS00465	NZ_LR216287.1	101740	102189	+	450	3807	4380	5931	4357	3895	2827	2523	1972	3641	2611
NFRAN_RS00470	NZ_LR216287.1	102231	103235	-	1005	8719	12228	8360	8245	12097	16403	14964	16589	19657	23324
NFRAN_RS00475	NZ_LR216287.1	103293	104291	-	999	1034	1239	1149	1429	1417	1815	1556	1520	1909	2492
NFRAN_RS00480	NZ_LR216287.1	104356	105903	-	1548	7432	7589	6550	6958	7492	10239	8559	9029	11781	11284
NFRAN_RS00485	NZ_LR216287.1	105917	107026	-	1110	6722	7325	6972	5993	7143	9041	8107	8190	10470	10161
NFRAN_RS00490	NZ_LR216287.1	107111	108511	-	1401	4095	6068	4222	3854	5243	8370	6981	7627	9745	10262
NFRAN_RS00495	NZ_LR216287.1	108701	109543	-	843	2745	2244	2498	2460	2625	3210	2499	2489	3414	3418
NFRAN_RS00500	NZ_LR216287.1	109545	110447	-	903	3134	2267	2982	3465	3116	3947	3273	3482	4113	4761
NFRAN_RS00505	NZ_LR216287.1	110680	111405	-	726	1380	1515	1772	1407	1505	1452	1311	1420	1516	2071
NFRAN_RS00510	NZ_LR216287.1	111548	112390	-	843	3228	2288	3226	2861	2337	2551	2287	2166	3259	2706
NFRAN_RS00515	NZ_LR216287.1	112544	113359	-	816	6482	10215	7001	6419	8371	12858	11838	11710	14613	15825
NFRAN_RS00520	NZ_LR216287.1	113503	114789	-	1287	12266	10827	9635	9930	11649	15896	12761	15530	20251	19059
NFRAN_RS00525	NZ_LR216287.1	114746	115543	-	798	6072	6613	6694	6311	7390	8465	7793	7767	9577	10828
NFRAN_RS00530	NZ_LR216287.1	115620	116513	-	894	1057	941	1109	1167	1397	1475	1202	1389	1638	1714
NFRAN_RS00535	NZ_LR216287.1	116657	117856	+	1200	38967	34620	43483	36993	25382	25251	22541	23902	30096	31046
NFRAN_RS00540	NZ_LR216287.1	118024	119100	+	1077	546	466	607	697	669	849	773	891	1106	1118
NFRAN_RS00545	NZ_LR216287.1	119278	119472	+	195	10	46	46	22	10	51	19	45	64	44
NFRAN_RS14190	NZ_LR216287.1	119590	121686	+	2097	2542	2492	2592	2382	2547	3660	2917	3484	4121	4164
NFRAN_RS00555	NZ_LR216287.1	121696	123477	+	1782	9778	8695	8894	8630	10213	13832	11237	11670	14460	15418
NFRAN_RS00560	NZ_LR216287.1	123636	125162	+	1527	5516	6518	7443	6427	5229	4190	3521	4049	4606	4851
NFRAN_RS00565	NZ_LR216287.1	125321	125728	+	408	269	500	462	437	402	395	449	280	530	388
NFRAN_RS00570	NZ_LR216287.1	125725	126117	-	393	809	638	848	789	647	857	648	616	764	1216
NFRAN_RS00575	NZ_LR216287.1	127116	127682	+	567	3253	3487	3221	4041	5084	7949	6629	6564	7430	10219
NFRAN_RS00580	NZ_LR216287.1	127741	127986	+	246	141	225	93	88	134	211	142	256	388	477
NFRAN_RS00585	NZ_LR216287.1	128007	128627	+	621	4039	3844	5649	5029	3526	2658	2511	2299	3080	3363
NFRAN_RS00590	NZ_LR216287.1	128926	129459	-	534	4427	5752	3767	7373	6279	14966	15442	14252	15105	20390
NFRAN_RS00595	NZ_LR216287.1	129976	130236	+	261	10	15	34	12	18	34	32	40	31	49
NFRAN_RS00600	NZ_LR216287.1	130341	131324	-	984	2745	2596	2789	2991	2739	2969	3086	3006	3645	3960
NFRAN_RS00605	NZ_LR216287.1	131404	131634	-	231	121	69	231	219	202	242	159	174	208	266
NFRAN_RS00610	NZ_LR216287.1	131737	132585	-	849	621	708	745	799	920	1149	870	877	1040	1368
NFRAN_RS00615	NZ_LR216287.1	132626	134101	-	1476	10485	8522	8706	8793	9414	12616	10927	11663	14144	14431
NFRAN_RS13445	NZ_LR216287.1	134688	134855	+	168	88203	20095	141971	79853	31799	10256	9757	13385	22114	18821
NFRAN_RS00620	NZ_LR216287.1	135193	135561	+	369	308	172	326	360	163	166	123	55	162	193
NFRAN_RS00625	NZ_LR216287.1	135640	136122	-	483	2886	3004	3151	3103	3259	5637	4629	4609	5534	6425
NFRAN_RS00630	NZ_LR216287.1	136250	137248	-	999	297	322	384	244	372	556	419	463	695	540
NFRAN_RS00635	NZ_LR216287.1	137292	138122	-	831	307	309	338	352	445	482	449	590	631	696
NFRAN_RS00640	NZ_LR216287.1	138339	138959	-	621	9118	11092	13411	11734	9955	7457	7789	7308	9158	10664
NFRAN_RS13450	NZ_LR216287.1	139089	139229	+	141	596	378	916	1232	632	515	373	440	461	769
NFRAN_RS14285	NZ_LR216287.1	140046	140585	-	540	5275	5047	10011	4896	4719	3095	2628	3803	7397	3507
NFRAN_RS00655	NZ_LR216287.1	141170	141703	+	534	750	675	876	736	639	549	575	563	644	854
NFRAN_RS13455	NZ_LR216287.1	141924	142133	+	210	28	14	15	17	27	26	22	30	36	65
NFRAN_RS00660	NZ_LR216287.1	142141	143253	-	1113	360	470	285	355	542	695	594	582	760	818
NFRAN_RS00665	NZ_LR216287.1	143298	144107	+	810	3516	3869	3250	3214	3248	3453	3422	3508	4229	5394
NFRAN_RS00670	NZ_LR216287.1	144921	145463	-	543	48384	60140	57687	47448	56816	52961	64589	48939	73407	79447
NFRAN_RS00675	NZ_LR216287.1	146171	146383	-	213	2	0	5	11	21	5	5	13	18	14
NFRAN_RS00680	NZ_LR216287.1	146365	146649	-	285	14	3	14	9	0	7	7	30	20	32
NFRAN_RS00685	NZ_LR216287.1	146595	146783	-	189	3	0	33	3	20	20	18	26	22	41
NFRAN_RS00690	NZ_LR216287.1	147070	147378	+	309	6536	5457	6274	9268	8646	10245	11583	9289	9029	17677
NFRAN_RS13460	NZ_LR216287.1	148369	149265	-	897	19781	24105	32197	27811	35130	34116	25409	42266	82606	38310
NFRAN_RS00700	NZ_LR216287.1	150001	151578	-	1578	208	152	187	184	176	198	217	217	257	244
NFRAN_RS00705	NZ_LR216287.1	152569	153444	+	876	176	145	166	231	257	448	275	347	321	450
NFRAN_RS00710	NZ_LR216287.1	155545	156831	+	1287	358	566	432	437	607	835	944	790	870	973
NFRAN_RS00715	NZ_LR216287.1	157211	158284	+	1074	984	1032	1221	1104	986	1081	1031	1250	1385	1840
NFRAN_RS00720	NZ_LR216287.1	159285	160682	+	1398	6336	6701	5226	5163	5810	12503	11385	11659	14218	13500
NFRAN_RS00725	NZ_LR216287.1	161080	161499	+	420	16	32	21	51	35	61	42	34	74	93
NFRAN_RS00730	NZ_LR216287.1	161517	161969	+	453	0	20	9	21	8	23	14	14	16	14
NFRAN_RS00735	NZ_LR216287.1	162000	163271	-	1272	91	175	132	218	201	180	201	209	266	312
NFRAN_RS00740	NZ_LR216287.1	163307	166111	-	2805	707	1116	674	763	759	1222	1403	1222	1349	1413
NFRAN_RS00745	NZ_LR216287.1	166203	166481	+	279	169	353	259	374	364	366	292	427	392	718
NFRAN_RS00750	NZ_LR216287.1	166667	167869	-	1203	1578	2307	1380	1503	1981	2686	2875	2835	3216	4241
NFRAN_RS00755	NZ_LR216287.1	168101	168403	-	303	2	0	14	0	4	2	0	6	0	8
NFRAN_RS00760	NZ_LR216287.1	168925	169530	+	606	74	151	59	222	99	257	236	249	222	280
NFRAN_RS00765	NZ_LR216287.1	170005	171357	-	1353	7494	6866	7273	8405	7009	8964	8946	9009	10462	12357
NFRAN_RS00770	NZ_LR216287.1	171645	172604	-	960	20229	24075	24582	22205	17747	16566	16337	15901	18320	20775
NFRAN_RS00775	NZ_LR216287.1	173037	173999	-	963	3956	4669	3637	3362	5457	8269	8728	7608	8891	10099
NFRAN_RS00780	NZ_LR216287.1	174811	176262	+	1452	1534	1755	1584	1688	1835	2765	2202	2356	2677	3050
NFRAN_RS00785	NZ_LR216287.1	176512	177708	-	1197	54126	52329	59897	56325	49805	44679	46323	43272	47540	58498
NFRAN_RS00790	NZ_LR216287.1	178438	179529	+	1092	2389	2462	1921	1920	2589	3767	3172	3234	3929	4843
NFRAN_RS00795	NZ_LR216287.1	180100	180360	+	261	23092	35739	20979	38616	31032	33634	39941	33941	36596	45744
NFRAN_RS00800	NZ_LR216287.1	180666	181076	-	411	509	572	781	594	673	812	785	716	1050	1134
NFRAN_RS00805	NZ_LR216287.1	181174	181968	+	795	424	338	479	596	402	551	477	471	576	615
NFRAN_RS00810	NZ_LR216287.1	182597	182962	+	366	407	367	607	616	449	437	496	431	581	621
NFRAN_RS00815	NZ_LR216287.1	183391	183687	+	297	846	754	935	1378	953	950	1013	958	965	1332
NFRAN_RS00820	NZ_LR216287.1	184053	186239	-	2187	6831	7037	8016	7147	6525	7486	6686	7523	8134	10411
NFRAN_RS00825	NZ_LR216287.1	187055	188767	-	1713	7668	8345	6737	8300	8548	7874	8474	7672	8603	9948
NFRAN_RS00830	NZ_LR216287.1	189076	189366	-	291	35403	18209	19054	27406	20629	20565	19754	22433	32106	31081
NFRAN_RS00835	NZ_LR216287.1	189629	190183	-	555	405	392	542	537	504	389	312	314	548	656
NFRAN_RS00840	NZ_LR216287.1	190612	193506	+	2895	18905	19442	25652	22476	20321	17890	16808	20223	27714	19061
NFRAN_RS00845	NZ_LR216287.1	193606	193785	-	180	10	14	44	33	35	61	50	42	91	125
NFRAN_RS00850	NZ_LR216287.1	193889	194596	-	708	850	1148	906	943	995	1347	1263	1116	1459	1717
NFRAN_RS00855	NZ_LR216287.1	194896	196611	+	1716	1305	1711	1019	1281	1264	1757	1794	1990	2167	2787
NFRAN_RS00860	NZ_LR216287.1	197190	197558	+	369	1020	726	1201	1318	995	862	631	771	819	1250
NFRAN_RS00865	NZ_LR216287.1	198159	198449	-	291	35190	23469	27818	39686	34820	33616	35718	27673	36305	44332
NFRAN_RS00870	NZ_LR216287.1	198745	199617	-	873	7418	5876	7731	8709	7417	8989	8615	8736	8675	10951
NFRAN_RS00875	NZ_LR216287.1	200574	201287	+	714	1089	1593	1055	1281	1954	2238	2141	1950	2322	2629
NFRAN_RS00880	NZ_LR216287.1	201636	202106	+	471	7803	7541	8161	10113	8107	9042	9414	8308	8725	13019
NFRAN_RS00885	NZ_LR216287.1	202392	204332	+	1941	1936	2362	1747	2106	2247	3173	3174	3104	3753	3657
NFRAN_RS00890	NZ_LR216287.1	204649	205308	+	660	13416	12804	22916	16505	11346	7879	6987	7192	9586	9016
NFRAN_RS00895	NZ_LR216287.1	205439	205804	+	366	387	277	624	646	433	325	231	345	355	346
NFRAN_RS00900	NZ_LR216287.1	205976	206485	-	510	304	417	365	390	432	401	442	315	478	725
NFRAN_RS00905	NZ_LR216287.1	206682	208118	-	1437	6403	7884	6698	7313	8609	8997	8422	8135	9269	11820
NFRAN_RS00910	NZ_LR216287.1	208329	209639	-	1311	1838	1981	2236	2004	2942	3162	2598	3134	3792	3408
NFRAN_RS14080	NZ_LR216287.1	209822	210502	-	681	765	804	600	805	777	1180	985	993	1393	1743
NFRAN_RS00920	NZ_LR216287.1	210597	211574	-	978	3028	2829	3277	4169	4351	5950	4980	4664	5477	6641
NFRAN_RS00925	NZ_LR216287.1	211678	212217	+	540	1416	1729	1519	1473	1936	2957	2259	2281	2913	3526
NFRAN_RS00930	NZ_LR216287.1	212245	213276	-	1032	3206	4344	3586	2672	3393	4366	4191	3960	4655	4870
NFRAN_RS00935	NZ_LR216287.1	213374	213637	+	264	1119	1514	1237	936	850	670	702	744	1192	862
NFRAN_RS00940	NZ_LR216287.1	213832	214332	+	501	363	528	591	493	475	546	470	471	726	618
NFRAN_RS00945	NZ_LR216287.1	214473	218030	-	3558	9994	11238	9906	9475	9770	11918	10847	10871	14907	15482
NFRAN_RS00950	NZ_LR216287.1	218446	219483	+	1038	1739	1636	1648	2145	2279	2920	2373	2508	2859	3509
NFRAN_RS00955	NZ_LR216287.1	219582	221786	-	2205	37587	48137	35457	32483	51619	64176	59277	60284	81365	80266
NFRAN_RS00960	NZ_LR216287.1	222245	223081	+	837	1375	1401	1303	1034	1596	2094	1841	1502	2195	1987
NFRAN_RS00965	NZ_LR216287.1	223228	224331	-	1104	6765	5589	7928	7348	6793	6245	5641	5175	6390	6778
NFRAN_RS00970	NZ_LR216287.1	224434	225561	+	1128	4363	3647	4888	4098	6042	7733	6086	6105	7766	9081
NFRAN_RS00975	NZ_LR216287.1	225654	227051	+	1398	46507	42220	52201	45985	45401	44970	39332	40230	47134	54169
NFRAN_RS00980	NZ_LR216287.1	227088	228320	-	1233	4450	5725	4404	4268	6460	10272	8129	8978	11167	13615
NFRAN_RS00985	NZ_LR216287.1	228701	229453	-	753	579	684	804	928	818	1121	979	1346	1184	1730
NFRAN_RS00990	NZ_LR216287.1	229673	229921	+	249	3130	4500	4164	3553	3379	4103	3586	3855	4635	5407
NFRAN_RS00995	NZ_LR216287.1	229929	230108	-	180	964	1097	1285	1012	970	1452	1360	1193	2031	1288
NFRAN_RS01000	NZ_LR216287.1	230296	230391	-	96	387	787	912	818	859	1351	1132	1115	1689	1818
NFRAN_RS01005	NZ_LR216287.1	230539	230724	+	186	2824	1938	2253	2906	2397	2771	2097	3041	3441	5415
NFRAN_RS01010	NZ_LR216287.1	230787	231338	+	552	6238	7146	7153	7226	8627	8104	7836	7725	8603	10832
NFRAN_RS01015	NZ_LR216287.1	231927	232637	-	711	334	152	317	207	267	173	196	224	148	251
NFRAN_RS01020	NZ_LR216287.1	232634	233308	-	675	1126	914	1224	1163	1035	897	873	800	1079	1070
NFRAN_RS01025	NZ_LR216287.1	233578	234216	+	639	1081	919	1152	1212	1282	1666	1453	1435	1564	2275
NFRAN_RS01030	NZ_LR216287.1	234221	234553	+	333	1671	2040	1640	1384	1444	1457	1438	1414	1727	1950
NFRAN_RS01035	NZ_LR216287.1	234603	235841	+	1239	6881	5892	7643	7283	6881	7225	6741	6662	7786	8678
NFRAN_RS01040	NZ_LR216287.1	236421	237941	-	1521	4456	4935	4522	4623	5581	7529	6451	6783	9435	10002
NFRAN_RS01045	NZ_LR216287.1	237944	239407	-	1464	10193	14389	11306	11137	15589	23094	18685	21811	25961	29986
NFRAN_RS01050	NZ_LR216287.1	239411	239713	-	303	1609	1737	1509	1485	2204	2661	2443	2628	3398	4147
NFRAN_RS01055	NZ_LR216287.1	239750	241111	-	1362	6486	7971	6532	6546	8992	11840	10770	11055	13355	14729
NFRAN_RS01060	NZ_LR216287.1	242718	243053	+	336	36167	25867	41573	27608	26874	14931	15014	13912	18162	23134
NFRAN_RS01065	NZ_LR216287.1	243140	245938	+	2799	16282	14786	18117	15535	13553	14695	13179	14059	18928	19389
NFRAN_RS01070	NZ_LR216287.1	246073	247161	-	1089	1493	1796	1662	1740	2014	2363	1974	2285	2670	3170
NFRAN_RS01075	NZ_LR216287.1	247246	247557	-	312	580	470	562	441	479	513	449	528	920	721
NFRAN_RS01080	NZ_LR216287.1	247688	248008	+	321	3257	4539	4715	4167	3338	3148	3185	2662	3647	4277
NFRAN_RS01085	NZ_LR216287.1	247995	248684	-	690	1726	3050	2295	1986	2464	3649	3453	3300	4359	3665
NFRAN_RS01090	NZ_LR216287.1	248727	250031	-	1305	1003	791	1013	1072	1061	1210	1031	1170	1500	1491
NFRAN_RS01095	NZ_LR216287.1	250074	250676	-	603	900	1079	1001	865	1077	1179	1029	921	1457	1420
NFRAN_RS01100	NZ_LR216287.1	250740	251069	+	330	243	426	358	463	482	509	459	515	564	619
NFRAN_RS01105	NZ_LR216287.1	251093	251791	-	699	128	146	120	115	170	135	99	140	117	269
NFRAN_RS01110	NZ_LR216287.1	251880	253154	+	1275	2312	2102	2620	2587	1895	1832	1647	1462	1816	2385
NFRAN_RS01115	NZ_LR216287.1	254384	254662	-	279	46	36	33	35	54	76	28	46	46	75
NFRAN_RS01120	NZ_LR216287.1	255542	256174	+	633	313	246	270	361	237	382	431	397	451	602
NFRAN_RS01125	NZ_LR216287.1	256407	256766	-	360	307	218	405	345	439	626	598	494	699	730
NFRAN_RS01130	NZ_LR216287.1	256767	257333	-	567	957	1160	1062	997	897	1410	1068	1289	1998	1537
NFRAN_RS01135	NZ_LR216287.1	258194	258511	+	318	146	159	176	116	76	46	84	50	97	119
NFRAN_RS01140	NZ_LR216287.1	259881	260225	+	345	12	62	100	37	36	42	39	38	76	46
NFRAN_RS01145	NZ_LR216287.1	261115	261363	-	249	1059	1974	1693	1153	962	941	1028	787	1276	1120
NFRAN_RS01150	NZ_LR216287.1	261520	261603	+	84	0	0	0	0	0	0	0	0	0	0
