Geneid	Chr	Start	End	Strand	Length	./Nvie_BF1_mRNA_sorted.bam	./Nvie_BF2_mRNA_sorted.bam	./Nvie_BF3_mRNA_sorted.bam	./Nvie_BF4_mRNA_sorted.bam	./Nvie_BF5_mRNA_sorted.bam	./Nvie_ctrl1_mRNA_sorted.bam	./Nvie_ctrl2_mRNA_sorted.bam	./Nvie_ctrl3_mRNA_sorted.bam	./Nvie_ctrl4_mRNA_sorted.bam	./Nvie_ctrl5_mRNA_sorted.bam
NVIE_000230	CP007536.1	20489	21178	+	690	4584	5977	5434	5213	6427	5705	5601	5969	4658	3829
NVIE_000240	CP007536.1	21456	22145	+	690	10875	18938	13482	10216	19432	25890	20519	27102	21986	20284
NVIE_000250	CP007536.1	22142	22882	+	741	22582	38311	23024	16298	21820	32478	30842	27578	33134	25814
NVIE_000260	CP007536.1	22879	23703	+	825	20394	25678	23222	17626	27383	46126	40059	36790	39758	27715
NVIE_000270	CP007536.1	23720	23926	+	207	6074	5962	4773	3633	5062	8571	6421	7299	10708	5471
NVIE_0030	CP007536.1	23901	24149	+	249	1525	1778	1424	1635	2311	4840	4269	4094	3400	3173
NVIE_000290	CP007536.1	24271	24582	+	312	2845	3540	3130	3563	4239	6933	5460	6444	5882	4270
NVIE_000300	CP007536.1	24621	25346	+	726	3552	4676	5013	3482	4186	7326	7086	5701	5968	4999
NVIE_000310	CP007536.1	25381	26151	+	771	2850	3770	3604	2684	3994	6831	6024	5768	6416	4490
NVIE_000320	CP007536.1	26144	26656	-	513	1441	2606	1995	1444	2768	3467	2860	3413	2366	2350
NVIE_000330	CP007536.1	26637	27476	-	840	4399	5918	5355	4035	5932	8852	7730	7211	8524	5174
NVIE_000340	CP007536.1	27498	28418	+	921	10286	16382	15007	12274	17603	20432	18935	19283	18606	13832
NVIE_000350	CP007536.1	28382	28774	+	393	1263	1364	1315	1582	1724	2363	2501	2027	1641	1422
NVIE_000360	CP007536.1	28871	29842	+	972	43326	65785	51786	33629	42722	42981	44546	47726	37051	40249
NVIE_000370	CP007536.1	29895	30365	+	471	1260	1128	1424	1196	1430	1638	1568	1537	1912	947
NVIE_000380	CP007536.1	30428	30766	+	339	2488	3535	3608	4029	4277	4510	3821	4303	3522	2485
NVIE_000390	CP007536.1	30772	31074	-	303	309	335	375	434	461	683	549	681	513	400
NVIE_000400	CP007536.1	31071	32243	-	1173	7409	10684	10084	8067	11304	17769	16151	16829	14292	12052
NVIE_000410	CP007536.1	32307	33800	+	1494	5536	7402	6209	5176	8269	14296	10903	11695	9219	9108
NVIE_000420	CP007536.1	33788	35455	+	1668	3959	6377	4794	3807	6895	10021	8546	9528	7393	6954
NVIE_000430	CP007536.1	35609	36658	+	1050	6801	8108	7659	7110	9404	13296	11128	12112	10854	7980
NVIE_000440	CP007536.1	36790	37083	+	294	4387	4377	4627	4855	5735	4326	5030	4429	3634	2901
NVIE_000450	CP007536.1	37075	38979	-	1905	11203	14301	12359	8540	13634	20043	18441	17414	19961	13135
NVIE_000460	CP007536.1	39115	39432	+	318	6105	3409	4451	4287	3516	6272	4775	4073	6810	2919
NVIE_000470	CP007536.1	39443	40516	+	1074	12399	14299	12232	9399	11442	16092	13799	13332	14401	10275
NVIE_000480	CP007536.1	40509	40949	-	441	319	349	473	435	448	688	563	492	389	297
NVIE_t0010	CP007536.1	41001	41090	-	90	15	21	16	26	7	29	33	31	34	36
NVIE_000490	CP007536.1	41124	41711	-	588	642	833	855	708	1098	1380	1229	1330	1162	917
NVIE_000500	CP007536.1	41749	42681	-	933	5059	8461	7101	4949	8456	12844	10980	10782	9600	8400
NVIE_000510	CP007536.1	42727	43257	-	531	2401	3078	2670	2752	3232	3744	3805	3767	3131	2491
NVIE_000520	CP007536.1	43220	43513	-	294	411	390	405	486	435	470	440	425	417	266
NVIE_000530	CP007536.1	43617	44759	-	1143	585035	794647	837019	651822	1030183	866477	773631	773236	584402	528685
NVIE_000540	CP007536.1	45031	45594	+	564	15031	21240	20486	15444	27440	46753	42542	50125	43555	35303
NVIE_000550	CP007536.1	45696	45932	+	237	816	944	1100	1042	1466	2870	2856	2519	2704	1760
NVIE_000560	CP007536.1	45929	46177	-	249	440	713	479	451	651	1255	1149	1105	920	965
NVIE_000570	CP007536.1	46194	47273	-	1080	23454	34222	33348	22795	32915	34443	35118	31864	24463	23199
NVIE_000580	CP007536.1	47297	47470	-	174	323	463	443	547	600	710	717	831	634	472
NVIE_000590	CP007536.1	47531	48790	-	1260	6956	6763	8629	7325	6254	3894	3286	3265	4141	2484
NVIE_000600	CP007536.1	48801	49832	-	1032	3689	4895	6369	5061	5155	2844	2812	2649	2249	1855
NVIE_000610	CP007536.1	49941	50516	+	576	785	1085	1214	1084	1169	908	834	1055	1098	638
NVIE_000620	CP007536.1	50506	51846	-	1341	6372	7629	8388	4673	6463	8283	7462	6846	6786	4892
NVIE_000630	CP007536.1	51914	52801	+	888	7287	7287	6932	5389	7815	14329	11186	10442	11233	8144
NVIE_000640	CP007536.1	52840	53766	+	927	2005	3315	2753	2011	3417	4478	3903	4258	3716	3001
NVIE_000650	CP007536.1	53761	54696	-	936	1991	2179	2609	1615	2089	2034	1982	1826	1878	1289
NVIE_000660	CP007536.1	54753	55109	+	357	122	141	94	151	161	315	236	265	228	130
NVIE_000670	CP007536.1	55211	55633	+	423	19438	24093	23248	26761	29328	46264	37881	45972	35200	29400
NVIE_000680	CP007536.1	55635	56084	+	450	16034	24123	19991	18968	26816	35861	28515	34347	36795	23672
NVIE_000690	CP007536.1	56101	56454	-	354	304	310	418	540	397	385	367	297	310	180
NVIE_000700	CP007536.1	56467	57285	-	819	630	995	831	526	1032	1222	789	1162	1144	774
NVIE_000710	CP007536.1	57356	58009	+	654	12823	15416	13660	9932	16468	26670	21310	22182	28131	17073
NVIE_000720	CP007536.1	58094	58762	+	669	2358	2658	2322	2689	3059	4966	4284	4447	3512	3283
NVIE_000730	CP007536.1	58759	60084	+	1326	9404	13662	10237	8742	13141	19820	16624	18968	14843	13200
NVIE_000740	CP007536.1	60056	61063	+	1008	7821	9843	7236	5611	6797	10435	9899	8656	9477	7177
NVIE_000750	CP007536.1	61101	61721	+	621	576	606	675	780	824	1489	1606	1474	1140	1011
NVIE_t0020	CP007536.1	61774	61851	+	78	58	60	38	132	140	233	344	357	198	184
NVIE_000760	CP007536.1	62155	62571	-	417	1125	1915	1786	2238	2427	2992	2410	2778	2107	1678
NVIE_000770	CP007536.1	62600	63382	-	783	483	835	793	1112	991	924	1039	833	750	534
NVIE_000780	CP007536.1	63400	63723	-	324	237	276	293	492	460	573	520	647	429	401
NVIE_000790	CP007536.1	63728	64048	-	321	460	403	407	829	687	867	708	695	457	471
NVIE_000800	CP007536.1	64328	64501	-	174	82	81	64	95	138	138	138	89	105	74
NVIE_000810	CP007536.1	64494	65000	-	507	397	521	445	533	605	851	916	883	818	543
NVIE_000820	CP007536.1	64993	65178	+	186	0	2	10	9	2	13	5	6	12	5
NVIE_000830	CP007536.1	65194	65670	-	477	1118	2046	1822	1827	1858	1500	1267	1525	1114	1076
NVIE_000840	CP007536.1	65836	67464	-	1629	44437	72351	70766	50991	73293	41414	38057	38994	32665	27671
NVIE_000850	CP007536.1	67471	68106	-	636	30785	53206	61030	34561	55248	35696	29646	29679	21877	21168
NVIE_000870	CP007536.1	68329	69160	-	832	3489	5223	5237	3775	5813	8486	7998	8006	5989	5910
NVIE_000880	CP007536.1	69489	71591	-	2103	24115	34882	32026	23308	35189	36894	35564	32524	35049	24003
NVIE_000890	CP007536.1	71621	72301	-	681	30703	46948	29161	17098	21474	29525	37023	36177	27649	34559
NVIE_000900	CP007536.1	72403	74181	+	1779	11019	13417	18102	10465	10262	9742	10139	8418	9275	6128
NVIE_000910	CP007536.1	74718	75005	+	288	1265	1924	1932	1222	2092	2522	2384	2178	1720	1472
NVIE_000920	CP007536.1	75033	76703	-	1671	3586	4540	5433	5178	5044	7659	7694	3817	6012	4399
NVIE_000930	CP007536.1	76868	77533	+	666	1928	3727	3866	2682	3081	3210	3366	537	1844	1650
NVIE_000940	CP007536.1	77542	78717	-	1176	85311	129761	119720	131661	100877	2391	2209	3640	1794	1684
NVIE_000950	CP007536.1	78762	79559	-	798	17757	18132	20108	20243	18898	4551	3976	6301	4131	2802
NVIE_000960	CP007536.1	79667	79858	-	192	528	573	508	764	517	375	374	538	346	292
NVIE_000970	CP007536.1	79956	80528	-	573	479480	739742	762795	867571	663139	44376	43112	53093	32511	27767
NVIE_000980	CP007536.1	80631	81074	-	444	1461	2188	2557	1881	2154	2636	2277	2329	1421	1560
NVIE_000990	CP007536.1	81184	81774	+	591	45477	79206	71794	54556	57776	8451	8423	8414	4999	5709
NVIE_001000	CP007536.1	82045	86082	+	4038	174764	335139	220083	175135	211111	8372	6769	13455	7584	6116
NVIE_001010	CP007536.1	86165	88171	+	2007	19731	22507	26907	16654	17282	9178	8553	7494	9407	5362
NVIE_001020	CP007536.1	88319	100498	+	12180	329089	528608	499433	399018	362354	13996	12953	17214	13359	10562
NVIE_001030	CP007536.1	100576	101154	+	579	4601	6568	5287	4785	4481	1552	1572	1697	1508	1088
NVIE_001040	CP007536.1	101206	102978	+	1773	20553	32114	33448	21213	33012	26338	25066	23577	19441	16504
NVIE_001050	CP007536.1	103198	103629	-	432	6	18	14	18	9	23	7	17	19	2
NVIE_001060	CP007536.1	103648	103770	-	123	3	10	2	2	8	0	2	5	5	5
NVIE_0108	CP007536.1	103822	104004	-	183	0	0	0	2	2	0	0	0	0	0
NVIE_001070	CP007536.1	104097	104228	+	132	53	133	66	148	196	167	195	192	173	102
NVIE_001080	CP007536.1	104416	104817	-	402	1568	1696	2058	1820	2019	2315	1962	1831	1616	1137
NVIE_001090	CP007536.1	105123	105284	+	162	12	26	32	45	26	7	11	15	13	5
NVIE_001100	CP007536.1	105281	105877	+	597	107	124	214	181	240	47	106	92	55	60
NVIE_001110	CP007536.1	105882	106241	+	360	65	54	28	32	89	18	18	40	13	21
NVIE_001120	CP007536.1	106228	106884	+	657	68	94	73	94	129	64	81	96	68	62
NVIE_001130	CP007536.1	106907	108937	-	2031	1670	2453	2278	2763	3100	3495	3108	3561	2809	2302
NVIE_001140	CP007536.1	109060	110400	-	1341	429	679	753	857	1003	1568	1424	1805	1278	970
NVIE_001150	CP007536.1	110507	110722	+	216	61	38	69	72	53	69	78	50	43	33
NVIE_001160	CP007536.1	110729	111409	+	681	309	366	420	407	493	213	314	271	204	200
NVIE_001170	CP007536.1	111409	112317	+	909	303	403	394	510	477	447	533	512	433	410
NVIE_001180	CP007536.1	112368	113879	+	1512	8215	9312	10645	10051	13756	5910	5904	5591	4184	3769
NVIE_001190	CP007536.1	114026	114463	-	438	3382	5532	5179	4854	5960	6792	6668	7266	5441	4424
NVIE_001200	CP007536.1	114571	114744	+	174	6	11	7	29	17	2	2	6	14	0
NVIE_001210	CP007536.1	114741	116150	+	1410	865	1027	1187	1032	1377	1445	1129	1122	1045	796
NVIE_001220	CP007536.1	116368	116490	+	123	18	33	21	14	36	17	39	38	26	30
NVIE_001230	CP007536.1	116608	117756	+	1149	2320	2976	3181	3089	3524	5738	5219	5294	3937	3412
NVIE_001240	CP007536.1	117719	118390	+	672	295	443	408	356	488	870	622	736	460	513
NVIE_001250	CP007536.1	118417	119772	-	1356	812	1223	1259	960	1230	1474	1597	1402	960	778
NVIE_001260	CP007536.1	119774	120742	-	969	529	883	825	716	921	1004	945	1010	812	643
NVIE_001270	CP007536.1	120855	123911	+	3057	4397	6642	7228	6212	8336	9804	9399	9588	7495	6980
NVIE_001280	CP007536.1	123908	125665	+	1758	2850	3925	4292	3396	4798	5856	5300	5544	4186	3887
NVIE_001290	CP007536.1	125674	126534	+	861	703	908	846	818	1116	1077	1046	1080	890	756
NVIE_001300	CP007536.1	126628	127164	-	537	170	243	285	320	372	604	779	852	623	498
NVIE_0132	CP007536.1	127294	128097	-	804	22080	24908	28732	28887	32884	35973	33577	32292	26514	21721
NVIE_001310	CP007536.1	128192	129850	+	1659	3411	5413	4888	3131	5569	8039	6225	6202	5841	4770
NVIE_001320	CP007536.1	129940	130395	+	456	2097	1963	2407	3786	3192	6879	6047	6265	4533	4574
NVIE_001330	CP007536.1	130570	131394	+	825	27503	33168	47522	45027	52471	47713	46324	46572	33827	32361
NVIE_001340	CP007536.1	131493	133085	-	1593	1610	2432	2730	1701	1829	1504	1790	1341	1060	917
NVIE_001350	CP007536.1	133267	133749	+	483	1024	1623	1523	1150	1771	2139	2167	1971	1393	1249
NVIE_001360	CP007536.1	133928	134860	+	933	1405	2727	2846	1770	2970	3878	3802	3900	3290	2882
NVIE_001370	CP007536.1	134843	136189	-	1347	14834	22133	17301	13022	21918	38941	30435	32396	32395	23559
NVIE_001380	CP007536.1	136293	136448	+	156	963	932	1024	742	1225	1511	1587	1668	1176	1079
NVIE_001390	CP007536.1	136445	136762	-	318	4338	6308	5605	5275	7035	11066	10113	10027	7468	6748
NVIE_001400	CP007536.1	136814	137476	+	663	3668	5091	5056	3479	5361	5956	5465	5660	4541	4121
NVIE_001410	CP007536.1	137473	138780	-	1308	1241	2002	1627	1326	1952	2656	2003	2555	2347	1559
NVIE_001420	CP007536.1	138849	139355	+	507	711	1067	806	746	1061	1175	1133	1484	1746	1012
NVIE_RNA0139656D	CP007536.1	139377	139656	+	280	394079	708927	789372	450948	631188	623562	537216	459850	288296	369391
NVIE_001430	CP007536.1	139693	139941	-	249	6	24	21	17	11	16	28	10	15	7
NVIE_001440	CP007536.1	140251	140571	+	321	13	17	16	43	45	99	50	57	51	49
NVIE_001450	CP007536.1	140641	140811	+	171	327	328	280	535	530	422	639	497	480	341
NVIE_0148	CP007536.1	140843	141223	+	381	1318	1757	1911	1250	1894	2560	2481	2316	1634	1832
NVIE_001470	CP007536.1	141266	142231	+	966	3495	4080	3998	3233	4417	6223	4549	5082	4647	3775
NVIE_001480	CP007536.1	142233	142877	+	645	763	845	913	776	954	1117	987	972	949	576
NVIE_001490	CP007536.1	142874	143029	-	156	16646	19247	21198	16652	18827	15039	14663	13784	15664	9353
NVIE_001500	CP007536.1	143158	144219	-	1062	42598	63210	55840	42796	65782	73769	62444	66016	50269	50178
NVIE_001510	CP007536.1	144179	145282	+	1104	1603	2112	1932	1690	1982	3295	3101	2402	2406	2069
NVIE_001520	CP007536.1	145284	145967	+	684	5570	6779	5779	3890	5957	14363	11773	12994	13804	10682
NVIE_001530	CP007536.1	145956	146288	-	333	369	300	205	359	257	625	436	486	597	350
NVIE_0156	CP007536.1	146385	147035	+	651	1979	3024	2758	1318	1686	1639	1954	1683	2075	1386
NVIE_001540	CP007536.1	147010	148803	-	1794	10858	17065	14354	9544	16653	21510	19754	19488	20630	15547
NVIE_0158	CP007536.1	148810	148980	-	171	284	419	265	245	436	469	468	569	542	309
NVIE_001550	CP007536.1	149025	149426	-	402	1307	1206	1025	1446	1292	1594	1423	1448	1720	926
NVIE_001560	CP007536.1	149695	150003	+	309	8148	9985	9489	9717	11441	15656	14839	13470	11605	9583
NVIE_001570	CP007536.1	150071	151978	+	1908	12620	18415	19330	12099	18179	16932	14611	15056	14514	10435
NVIE_001580	CP007536.1	152019	152468	+	450	5035	6388	6203	5527	6261	7498	6389	7414	5584	5224
NVIE_001590	CP007536.1	152458	153372	-	915	19390	31907	30428	23887	29527	34977	29650	31605	33828	23916
NVIE_001600	CP007536.1	153667	153864	-	198	841	1168	882	826	1094	2431	1952	2479	1247	1801
NVIE_001610	CP007536.1	153859	154191	+	333	8647	10956	10680	9396	12361	15866	12887	14439	10293	9453
NVIE_001620	CP007536.1	154226	154912	+	687	4037	5765	5332	4047	6230	8026	6575	7033	5564	4680
NVIE_001630	CP007536.1	154976	155365	+	390	1837	2479	2550	1977	2603	3691	3552	3164	2607	2338
NVIE_001640	CP007536.1	155362	156768	-	1407	9727	12667	10079	7494	11297	19724	17641	16524	16182	12458
NVIE_t0030	CP007536.1	156878	156950	+	73	12	13	11	14	15	87	35	35	18	15
NVIE_001650	CP007536.1	157005	157103	+	99	27	33	46	41	52	116	124	177	85	93
NVIE_0169	CP007536.1	158725	158871	+	147	22	10	29	27	24	70	122	56	43	58
NVIE_001690	CP007536.1	159432	159614	+	183	89	146	131	156	161	99	218	104	100	107
NVIE_001700	CP007536.1	159767	160072	+	306	101	113	182	332	204	153	157	102	165	72
NVIE_001710	CP007536.1	160261	160359	-	99	4	29	32	31	48	56	14	28	28	2
NVIE_001720	CP007536.1	160666	161079	+	414	304	414	430	389	503	491	459	439	327	283
NVIE_001730	CP007536.1	161206	162162	-	957	124	116	112	136	196	152	124	145	135	101
NVIE_001740	CP007536.1	162594	162851	+	258	2340	4652	5028	3591	4143	3121	2896	3290	2237	1941
NVIE_001750	CP007536.1	163206	164114	-	909	751	947	1124	1144	1165	1809	2009	1727	1453	1331
NVIE_001760	CP007536.1	164587	165042	-	456	263	233	308	337	336	374	369	327	187	191
NVIE_001770	CP007536.1	164987	165193	-	207	4	6	5	2	8	9	2	3	8	2
NVIE_001780	CP007536.1	165190	166833	-	1644	1400	2047	2284	2079	2197	2252	1933	2341	1921	1322
NVIE_001790	CP007536.1	167077	167436	+	360	166	241	256	240	302	212	185	203	150	108
NVIE_001800	CP007536.1	167437	167736	-	300	855	1348	1345	1491	1367	1376	1598	1370	1012	995
NVIE_001810	CP007536.1	167842	168126	-	285	287	332	450	736	505	462	438	494	483	224
NVIE_001820	CP007536.1	168215	168463	-	249	293	360	488	690	465	376	422	349	292	279
NVIE_001830	CP007536.1	168561	169790	-	1230	6391	11051	11793	8530	9550	8961	9623	8774	6467	5560
NVIE_001840	CP007536.1	169967	170257	+	291	77	108	114	160	112	156	164	151	142	108
NVIE_001850	CP007536.1	170423	171235	-	813	34922	55336	62013	47925	30419	1734	4232	2431	1760	906
NVIE_001860	CP007536.1	171443	171742	+	300	288	531	650	523	500	283	424	353	280	215
NVIE_001870	CP007536.1	171841	172068	-	228	187	206	187	182	251	347	294	261	292	184
NVIE_001880	CP007536.1	172145	172363	+	219	4416	6352	6695	4688	5293	1483	1718	1487	1011	1073
NVIE_001890	CP007536.1	172367	172858	+	492	960	1305	1641	837	852	594	656	596	496	380
NVIE_001900	CP007536.1	172924	173688	+	765	1007	1083	1415	867	952	484	559	488	397	339
NVIE_001910	CP007536.1	173734	174993	-	1260	757	1172	1225	874	1433	2158	1554	1586	1226	1198
NVIE_001920	CP007536.1	175370	175981	+	612	4155	5595	6300	4745	6727	10514	9712	8682	9313	6551
NVIE_001930	CP007536.1	176028	177002	-	975	3265	5196	4504	3121	5242	7825	6847	7185	6767	5517
NVIE_001940	CP007536.1	176989	177168	-	180	0	7	17	4	8	13	7	4	16	3
NVIE_001950	CP007536.1	177149	177988	+	840	2494	3267	2685	2298	3612	5731	4524	4846	3587	3468
NVIE_001960	CP007536.1	178067	178903	+	837	954	998	1134	1154	1207	1059	823	903	829	566
NVIE_001970	CP007536.1	178948	179391	+	444	712	1130	944	699	1348	1708	1473	1494	978	1163
NVIE_001980	CP007536.1	179477	179614	+	138	323	631	483	288	511	657	454	610	473	515
NVIE_001990	CP007536.1	179677	179895	+	219	596	728	718	714	653	1239	1186	1179	887	810
NVIE_002000	CP007536.1	180363	180749	+	387	1823	2077	1659	1468	2163	3268	2833	3202	2821	2583
NVIE_002010	CP007536.1	180746	181174	-	429	4116	7412	9083	5699	6968	4579	4888	4362	3274	3057
NVIE_002020	CP007536.1	181187	181747	+	561	2264	2611	2456	2265	3134	4767	3599	4589	3467	2971
NVIE_002030	CP007536.1	181758	182171	+	414	1265	1775	1460	1384	2115	3032	2741	2727	2469	1590
NVIE_002040	CP007536.1	182211	182678	+	468	5768	6269	6652	5766	6747	8870	7061	7051	8788	4860
NVIE_002050	CP007536.1	182805	184037	+	1233	4943	5836	6831	4311	4701	5413	4975	4377	5271	3058
NVIE_002060	CP007536.1	184034	185332	-	1299	2276	2878	3019	2355	2528	2446	2019	2014	1969	1316
NVIE_002070	CP007536.1	185353	185799	+	447	749	892	725	886	1114	1210	1110	1033	1138	651
NVIE_002080	CP007536.1	186180	186467	-	288	18	12	26	38	26	32	34	10	22	6
NVIE_002090	CP007536.1	186927	187247	-	321	88	84	88	103	50	87	68	31	60	23
NVIE_002100	CP007536.1	187508	187780	-	273	0	0	1	0	0	0	0	0	0	0
NVIE_0211	CP007536.1	187518	187919	-	402	32	23	35	50	81	71	84	74	94	58
NVIE_002110	CP007536.1	188301	188501	-	201	168	271	140	201	248	407	454	429	328	299
NVIE_002120	CP007536.1	188660	189286	+	627	94	129	99	127	207	220	250	243	185	150
NVIE_002130	CP007536.1	189283	189645	-	363	1836	3432	2940	1896	3922	3058	3059	3341	2383	2341
NVIE_002140	CP007536.1	189636	189815	-	180	396	418	454	513	628	497	530	534	457	391
NVIE_002150	CP007536.1	189893	191737	-	1845	4339	5879	5798	3498	4621	4830	4907	3960	3955	3128
NVIE_002170	CP007536.1	192041	192529	+	489	4472	7810	7371	4907	7868	9912	9546	8556	7966	6551
NVIE_002180	CP007536.1	192526	193314	-	789	15832	30425	13967	11758	14034	23584	19450	21333	18300	18960
NVIE_0219	CP007536.1	193238	193876	+	639	453	606	593	533	664	725	615	566	424	494
NVIE_002190	CP007536.1	193891	194364	-	474	1762	2287	2814	1860	2676	3155	3108	2513	1978	1991
NVIE_0221	CP007536.1	194385	194597	-	213	94	87	140	198	140	110	68	76	44	53
NVIE_002200	CP007536.1	194678	194863	+	186	24	11	29	40	24	10	16	2	10	4
NVIE_002210	CP007536.1	194909	195736	-	828	855	1073	1345	1284	1216	1239	1094	1019	795	830
NVIE_002220	CP007536.1	196053	198353	+	2301	10235	17359	14687	9461	16485	25716	21262	23407	17932	18515
NVIE_002230	CP007536.1	198487	199680	+	1194	772	927	1488	1132	984	626	653	590	470	350
NVIE_002240	CP007536.1	199730	200152	+	423	4329	5242	5520	8375	7917	8032	7165	8263	7318	4712
NVIE_002250	CP007536.1	200258	200938	-	681	24080	35317	35502	25889	50026	67960	55438	57878	51927	44978
NVIE_002260	CP007536.1	200994	201170	-	177	821	978	900	879	1036	1409	1275	1680	1748	909
NVIE_002270	CP007536.1	201355	201543	+	189	813	1000	1237	1276	1502	2267	1989	1779	1236	1344
NVIE_0230	CP007536.1	201540	201875	-	336	975	1207	1527	1042	1653	2113	1908	1826	1222	1138
NVIE_002280	CP007536.1	201920	202147	-	228	120	194	173	155	230	585	587	650	444	522
NVIE_002290	CP007536.1	202178	203470	-	1293	594	690	830	646	895	753	809	807	672	542
NVIE_002300	CP007536.1	203471	204412	+	942	2161	2875	2593	1866	2938	4763	4273	4447	4282	3309
NVIE_002310	CP007536.1	204426	204752	+	327	4009	6130	5836	4575	5841	5912	5854	6141	4540	4170
NVIE_002320	CP007536.1	204758	205090	+	333	2135	2814	2730	1910	2940	3660	3657	3324	2536	2642
NVIE_002330	CP007536.1	205116	205679	-	564	356	633	482	590	559	901	912	866	989	765
NVIE_002340	CP007536.1	205986	206687	+	702	4886	6295	6131	5128	7624	12206	9766	11534	10453	7890
NVIE_002350	CP007536.1	206684	207310	+	627	3522	4796	4028	3175	5042	7184	5873	6496	5445	4874
NVIE_002360	CP007536.1	207311	208429	+	1119	5542	7897	6547	5250	7146	10067	8205	8735	10382	6811
NVIE_002370	CP007536.1	208422	208787	-	366	2763	3860	3990	4013	4670	4547	4084	4727	3346	2822
NVIE_002380	CP007536.1	208830	209438	-	609	279	298	352	327	337	450	338	262	515	256
NVIE_002390	CP007536.1	209442	210053	-	612	2430	3223	3622	2830	3664	5032	4551	4136	4784	2782
NVIE_002400	CP007536.1	210095	210355	-	261	485	714	572	684	796	1181	1112	1046	1068	706
NVIE_002410	CP007536.1	210363	211352	-	990	7239	11386	10337	7387	10815	13441	10985	12795	9213	9276
NVIE_002420	CP007536.1	211491	212999	+	1509	23831	37104	40960	24028	37159	28340	22015	25827	25847	17676
NVIE_002430	CP007536.1	213123	213308	+	186	896	1329	1377	886	1303	1951	1852	1499	1043	1151
NVIE_002440	CP007536.1	213312	214478	-	1167	5974	9596	9429	6221	11593	7180	7683	6852	5322	5027
NVIE_002450	CP007536.1	214562	214792	+	231	2429	2854	2834	2219	3306	5904	5060	4388	4104	3229
NVIE_002460	CP007536.1	214805	215677	-	873	1950	2793	2487	1713	2989	3591	3275	3434	2589	2520
NVIE_002470	CP007536.1	215896	215994	+	99	0	0	0	0	0	0	0	0	0	0
NVIE_002480	CP007536.1	215973	216350	+	378	34	69	92	64	89	142	108	86	107	59
NVIE_002490	CP007536.1	216610	216924	+	315	2522	2412	2873	2687	3108	4577	4084	3870	3023	2700
NVIE_002500	CP007536.1	216934	217764	-	831	7438	9315	8719	5492	8478	11067	9467	10580	12065	7735
