Geneid	Chr	Start	End	Strand	Length	BF1	BF2	BF3	BF4	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5
NMAR_RS00280	NC_010085.1	42712	43098	+	387	42	100	34	138	69	78	675	69	70
NMAR_RS00285	NC_010085.1	43073	45022	-	1950	148	204	117	108	208	183	1735	87	158
NMAR_RS00290	NC_010085.1	45126	45602	+	477	75	166	125	144	450	420	3787	169	220
NMAR_RS00295	NC_010085.1	45627	46217	+	591	149	256	146	75	356	409	2765	153	219
NMAR_RS00300	NC_010085.1	46253	46975	+	723	152	165	136	87	142	205	1444	112	179
NMAR_RS00305	NC_010085.1	46968	47738	+	771	189	220	155	116	202	177	1880	161	177
NMAR_RS00310	NC_010085.1	47719	48474	-	756	46	46	6	4	31	28	231	16	22
NMAR_RS00315	NC_010085.1	48580	49230	+	651	82976	92792	95278	72355	130672	142738	1244705	90314	100407
NMAR_RS00320	NC_010085.1	49278	50438	-	1161	183	199	138	70	209	260	2801	267	249
NMAR_RS00325	NC_010085.1	50600	52057	-	1458	130	248	160	198	245	212	2478	159	172
NMAR_RS00330	NC_010085.1	52088	52927	-	840	108	104	114	48	126	88	1206	84	148
NMAR_RS00335	NC_010085.1	53013	54038	+	1026	233	410	322	284	259	341	3811	191	222
NMAR_RS00340	NC_010085.1	54038	55159	+	1122	64	23	31	50	32	65	475	31	43
NMAR_RS00345	NC_010085.1	55207	58062	+	2856	1838	2035	2002	1624	2603	2925	22935	1424	1985
NMAR_RS00350	NC_010085.1	58063	58605	+	543	0	8	8	0	4	0	66	4	3
NMAR_RS00355	NC_010085.1	58640	59602	+	963	44	156	54	87	122	90	1357	106	93
NMAR_RS00360	NC_010085.1	59603	59676	-	74	7	0	6	2	2	0	10	4	0
NMAR_RS00365	NC_010085.1	59729	59902	+	174	118	234	104	97	170	158	1437	84	159
NMAR_RS00370	NC_010085.1	60101	60514	+	414	566	797	692	491	849	806	7428	570	589
NMAR_RS00375	NC_010085.1	60546	61808	+	1263	1268	1488	1308	907	1389	1522	13147	1034	1044
NMAR_RS00380	NC_010085.1	61801	62169	+	369	69	0	4	7	8	22	223	26	17
NMAR_RS00385	NC_010085.1	62205	62654	+	450	627	728	640	691	849	1057	9877	664	726
NMAR_RS00390	NC_010085.1	62723	64861	+	2139	262	379	356	365	582	717	6140	584	479
NMAR_RS00395	NC_010085.1	64864	65019	-	156	12	20	12	8	13	42	145	11	19
NMAR_RS00400	NC_010085.1	65021	65818	-	798	238	181	110	113	246	206	1604	173	228
NMAR_RS00405	NC_010085.1	65859	66389	-	531	86	56	56	40	103	82	778	64	58
NMAR_RS00410	NC_010085.1	66477	67829	+	1353	66	114	67	112	108	129	786	53	83
NMAR_RS00415	NC_010085.1	67818	68459	-	642	78	86	98	106	114	92	1148	79	78
NMAR_RS00420	NC_010085.1	68449	69201	-	753	24	32	30	2	32	29	374	12	25
NMAR_RS00425	NC_010085.1	69198	70250	-	1053	49	86	128	74	159	130	1505	96	96
NMAR_RS00430	NC_010085.1	70282	71367	-	1086	127	122	86	86	152	99	853	71	77
NMAR_RS00435	NC_010085.1	71458	72327	+	870	53	24	10	38	32	25	302	24	25
NMAR_RS00440	NC_010085.1	72304	73470	-	1167	678	618	492	483	1198	940	10600	761	852
NMAR_RS00445	NC_010085.1	73486	73731	-	246	200	246	143	84	524	405	4190	224	310
NMAR_RS00450	NC_010085.1	73840	74493	+	654	0	4	10	0	7	8	26	4	2
NMAR_RS00455	NC_010085.1	74592	77333	+	2742	160	264	176	192	256	304	2412	185	248
NMAR_RS00460	NC_010085.1	77330	78730	-	1401	551	918	536	669	979	962	8616	763	767
NMAR_RS00465	NC_010085.1	78944	79882	+	939	112	184	206	65	142	236	1916	108	113
NMAR_RS00470	NC_010085.1	79866	80627	+	762	76	19	64	12	45	71	354	32	56
NMAR_RS00475	NC_010085.1	80633	81373	-	741	96	95	120	72	108	137	1886	220	129
NMAR_RS00480	NC_010085.1	81439	81511	-	73	12	38	6	14	20	65	241	12	12
NMAR_RS00485	NC_010085.1	81548	82600	-	1053	28	91	48	30	142	128	1284	146	122
NMAR_RS00490	NC_010085.1	82664	83803	+	1140	285	330	228	228	308	401	3986	385	288
NMAR_RS00495	NC_010085.1	83839	84402	+	564	121	116	81	80	118	70	1372	189	118
NMAR_RS00500	NC_010085.1	84405	86315	+	1911	2845	3557	3127	2341	3281	3165	33917	2070	2672
NMAR_RS00505	NC_010085.1	86365	87450	+	1086	383	347	342	182	338	324	2839	198	238
NMAR_RS00510	NC_010085.1	87456	87989	+	534	20	35	24	12	20	40	425	26	32
NMAR_RS09610	NC_010085.1	87986	88150	-	165	0	0	10	0	2	5	54	10	9
NMAR_RS00515	NC_010085.1	88221	88305	+	85	0	4	13	10	8	0	57	0	2
NMAR_RS00520	NC_010085.1	88308	90212	-	1905	142	137	119	117	226	204	1911	164	145
NMAR_RS00525	NC_010085.1	90221	91510	-	1290	455	618	583	469	521	625	5493	458	465
NMAR_RS00530	NC_010085.1	91543	93711	-	2169	11937	14326	12383	11217	9147	10297	108217	8638	7787
NMAR_RS00535	NC_010085.1	93816	94550	+	735	2288	2885	3029	2141	3258	3251	30152	1858	2069
NMAR_RS00540	NC_010085.1	94601	94879	+	279	96	163	172	113	103	70	1016	83	57
NMAR_RS00545	NC_010085.1	94876	95208	-	333	28	14	1	14	12	57	293	27	10
NMAR_RS00550	NC_010085.1	95240	95553	-	314	3437257	932451	1258444	1251318	731574	740565	7331188	578373	462463
NMAR_RS00555	NC_010085.1	95588	96502	-	915	200	246	202	139	258	274	3905	315	252
NMAR_RS00560	NC_010085.1	96623	97543	+	921	2	16	8	0	14	27	190	12	17
NMAR_RS00565	NC_010085.1	97656	98852	-	1197	390	482	425	348	510	499	6450	423	369
NMAR_RS00570	NC_010085.1	98896	99207	+	312	0	16	0	9	0	0	60	0	4
NMAR_RS00575	NC_010085.1	99204	100253	-	1050	58	78	35	41	61	74	774	59	86
NMAR_RS00580	NC_010085.1	100286	100699	-	414	215	193	140	117	355	283	3346	170	218
NMAR_RS00585	NC_010085.1	100871	101290	+	420	176	97	131	109	97	137	1248	150	91
NMAR_RS09615	NC_010085.1	101295	101459	-	165	414	451	405	509	496	417	5771	516	351
NMAR_RS00590	NC_010085.1	101499	101951	-	453	175	436	347	264	318	440	4111	187	309
NMAR_RS00595	NC_010085.1	101953	102720	-	768	222	173	51	107	251	223	2556	128	223
NMAR_RS00600	NC_010085.1	102822	104501	+	1680	10698	12502	9309	8400	12772	15570	199506	11766	15626
NMAR_RS00605	NC_010085.1	104553	105578	+	1026	204	145	107	171	254	254	3674	267	283
NMAR_RS00610	NC_010085.1	105630	106637	+	1008	186	191	130	120	211	195	2458	223	214
NMAR_RS00615	NC_010085.1	106639	108219	-	1581	2	20	4	20	15	13	296	34	9
NMAR_RS00620	NC_010085.1	108318	109481	-	1164	90	26	48	31	117	130	1202	101	117
NMAR_RS00625	NC_010085.1	109495	110676	-	1182	84	70	80	90	141	160	1802	190	129
NMAR_RS00630	NC_010085.1	110737	111624	-	888	16	12	0	28	19	4	168	26	20
NMAR_RS00635	NC_010085.1	111729	112664	+	936	35	59	8	40	48	52	861	42	37
NMAR_RS00640	NC_010085.1	112659	113699	-	1041	34	26	4	21	42	42	273	36	15
NMAR_RS00645	NC_010085.1	113741	114796	-	1056	67	149	203	127	331	325	3626	158	260
NMAR_RS00650	NC_010085.1	114842	115831	-	990	89	61	24	50	91	37	633	83	76
NMAR_RS00655	NC_010085.1	116069	116302	+	234	8	23	20	10	16	14	49	14	21
NMAR_RS00660	NC_010085.1	116426	117607	-	1182	50	31	54	49	93	132	944	92	88
NMAR_RS00665	NC_010085.1	117608	119311	-	1704	432	409	469	473	432	462	4519	385	366
NMAR_RS00670	NC_010085.1	119311	119658	-	348	58	120	98	56	24	68	388	16	33
NMAR_RS00675	NC_010085.1	119962	120735	-	774	238	409	320	292	380	364	4330	304	361
NMAR_RS00680	NC_010085.1	120842	121897	+	1056	384	356	275	228	409	564	5042	388	385
NMAR_RS00685	NC_010085.1	121900	122988	-	1089	80	85	40	70	88	98	993	64	93
NMAR_RS00690	NC_010085.1	122985	123404	-	420	0	4	2	4	6	6	47	1	4
NMAR_RS00695	NC_010085.1	123483	124076	+	594	24	20	6	35	8	27	301	13	15
NMAR_RS00700	NC_010085.1	124078	124836	+	759	4	0	4	0	10	8	199	6	16
NMAR_RS00705	NC_010085.1	124833	125879	-	1047	6	25	18	54	19	21	584	24	19
NMAR_RS00710	NC_010085.1	125943	127181	-	1239	69	105	80	18	78	76	894	112	66
NMAR_RS00715	NC_010085.1	127275	127622	+	348	9	0	0	14	8	4	130	2	3
NMAR_RS00720	NC_010085.1	127631	129448	-	1818	32	33	53	54	112	86	1473	46	103
NMAR_RS00725	NC_010085.1	129568	130626	+	1059	193	154	190	112	187	218	1929	130	206
NMAR_RS00730	NC_010085.1	130601	132058	+	1458	20	15	2	0	18	2	16	10	16
NMAR_RS00735	NC_010085.1	132142	132786	+	645	10	24	38	28	61	76	573	34	33
NMAR_RS00740	NC_010085.1	132795	133049	+	255	20	4	10	12	4	0	10	2	6
NMAR_RS00745	NC_010085.1	133033	133818	+	786	14	5	32	0	4	12	109	4	4
NMAR_RS00750	NC_010085.1	133802	134257	-	456	93	98	64	95	133	109	1382	168	102
NMAR_RS00755	NC_010085.1	134267	135256	-	990	172	143	84	135	112	183	2625	161	151
NMAR_RS00760	NC_010085.1	135375	136670	+	1296	28	26	10	19	16	12	333	40	24
NMAR_RS00765	NC_010085.1	136667	137995	+	1329	485	693	449	372	533	655	6001	445	531
NMAR_RS00770	NC_010085.1	138001	138744	-	744	64	62	6	17	52	41	580	44	48
NMAR_RS00775	NC_010085.1	138746	139729	-	984	565	706	722	496	1102	1321	11906	1061	1034
NMAR_RS00780	NC_010085.1	139726	140535	-	810	46	30	34	62	105	103	634	53	74
NMAR_RS00785	NC_010085.1	140544	141593	-	1050	52	132	26	72	168	170	1393	65	121
NMAR_RS00790	NC_010085.1	141684	142691	+	1008	70	177	99	90	178	195	1650	148	130
NMAR_RS00795	NC_010085.1	142688	144052	+	1365	69	40	46	39	68	120	975	65	83
NMAR_RS00800	NC_010085.1	144143	145516	+	1374	571	594	566	483	856	1131	8283	614	793
NMAR_RS00805	NC_010085.1	145547	146671	+	1125	43	35	21	39	82	59	709	83	58
NMAR_RS00810	NC_010085.1	146673	147416	-	744	10	6	10	6	17	22	114	19	16
NMAR_RS00815	NC_010085.1	147424	147972	-	549	2	14	10	12	38	35	491	12	24
NMAR_RS00820	NC_010085.1	147965	148453	-	489	28	29	34	30	49	31	416	38	25
NMAR_RS00825	NC_010085.1	148450	149349	-	900	290	366	310	253	563	477	4697	375	348
NMAR_RS00830	NC_010085.1	149412	150347	+	936	44	52	28	36	56	70	463	44	60
NMAR_RS00835	NC_010085.1	150349	150645	-	297	38	28	4	26	34	48	386	28	17
NMAR_RS00840	NC_010085.1	150648	151970	-	1323	252	163	124	184	241	275	2962	218	243
NMAR_RS00845	NC_010085.1	152015	152839	-	825	0	8	5	8	22	6	236	16	26
NMAR_RS00850	NC_010085.1	153004	153954	+	951	96	94	178	85	222	238	2697	146	203
NMAR_RS00855	NC_010085.1	153960	154847	+	888	74	122	74	70	128	191	1153	113	120
NMAR_RS00860	NC_010085.1	154844	155857	-	1014	23	78	56	58	38	60	740	49	57
NMAR_RS00865	NC_010085.1	155950	156876	+	927	99	60	34	41	91	98	907	145	96
NMAR_RS00870	NC_010085.1	156890	157927	+	1038	314	421	336	241	303	423	3618	397	299
NMAR_RS00875	NC_010085.1	157954	158940	+	987	36	1	0	20	32	15	345	33	38
NMAR_RS00880	NC_010085.1	158947	159906	+	960	2	45	28	26	56	63	678	76	71
NMAR_RS00885	NC_010085.1	159978	160616	+	639	1325	1293	912	809	1540	1531	12991	1012	1288
NMAR_RS00890	NC_010085.1	160619	161266	-	648	66	83	59	84	129	147	1485	115	157
NMAR_RS00895	NC_010085.1	161293	161532	-	240	68	101	116	54	151	158	1982	96	159
NMAR_RS00900	NC_010085.1	161651	162244	+	594	90	170	176	172	273	304	2136	136	199
NMAR_RS00905	NC_010085.1	162208	162699	-	492	4	46	32	24	63	82	625	52	42
NMAR_RS00910	NC_010085.1	162742	162816	-	75	0	6	22	4	0	0	50	4	1
NMAR_RS00915	NC_010085.1	162861	164036	+	1176	1161	1415	1273	927	1055	1300	10444	706	956
NMAR_RS00920	NC_010085.1	164030	164431	-	402	10	22	20	15	60	33	388	31	74
NMAR_RS00925	NC_010085.1	164415	164648	-	234	0	3	2	8	4	2	0	0	10
NMAR_RS00930	NC_010085.1	164664	165335	-	672	846	916	676	545	1156	1315	9917	850	799
NMAR_RS00935	NC_010085.1	165387	166010	+	624	573	839	605	649	862	851	9042	585	727
NMAR_RS00940	NC_010085.1	166066	166326	+	261	1271	1492	1856	1524	2807	3043	23218	2690	1769
NMAR_RS00945	NC_010085.1	166329	166760	+	432	821	950	1233	986	2172	2237	15349	1118	1185
NMAR_RS00950	NC_010085.1	166798	168324	+	1527	7240	8803	9037	7157	12491	16869	114706	7746	9955
NMAR_RS09620	NC_010085.1	168337	169284	+	948	8312	7576	9691	6700	12922	14798	126474	8995	9477
NMAR_RS00960	NC_010085.1	169292	169735	+	444	408	424	406	469	782	987	8151	864	690
NMAR_RS00965	NC_010085.1	169725	170249	-	525	219	247	279	251	187	275	3566	238	190
NMAR_RS00970	NC_010085.1	170346	170942	+	597	11652	14384	11504	9516	13881	14810	134705	11099	11074
NMAR_RS00975	NC_010085.1	171008	171081	+	74	72	51	34	42	10	10	218	12	11
NMAR_RS00980	NC_010085.1	171179	172975	+	1797	133	283	156	160	337	389	3733	266	340
NMAR_RS00985	NC_010085.1	172976	173530	-	555	63	18	2	51	46	40	415	59	32
NMAR_RS09625	NC_010085.1	173569	173730	-	162	8	52	21	43	38	68	429	19	75
NMAR_RS00990	NC_010085.1	173772	174686	-	915	742	854	862	628	1129	915	10430	1013	717
NMAR_RS00995	NC_010085.1	174780	174986	+	207	27	21	12	32	40	52	357	12	22
NMAR_RS01000	NC_010085.1	175136	176551	-	1416	381	374	376	227	612	439	6561	523	528
NMAR_RS01005	NC_010085.1	176568	177590	-	1023	8	2	0	0	30	21	251	7	10
NMAR_RS01010	NC_010085.1	177670	177744	+	75	0	9	0	2	0	1	0	0	2
NMAR_RS01015	NC_010085.1	177793	178044	+	252	289	599	581	489	1353	1200	12358	691	575
NMAR_RS01020	NC_010085.1	178141	178488	-	348	2348	3813	2892	2420	3620	4857	36633	2351	2994
NMAR_RS01025	NC_010085.1	178619	178984	+	366	184	276	234	177	363	383	4499	261	263
NMAR_RS01030	NC_010085.1	178988	179500	-	513	68	54	74	83	122	144	656	57	96
NMAR_RS01035	NC_010085.1	179561	179812	+	252	7	31	25	12	62	52	586	1	26
NMAR_RS01040	NC_010085.1	179850	180302	+	453	225	323	361	261	549	648	4582	464	419
NMAR_RS01045	NC_010085.1	180299	181180	-	882	158	132	111	93	262	253	2580	207	211
NMAR_RS01050	NC_010085.1	181280	181582	+	303	2	6	10	14	17	4	126	0	4
NMAR_RS01055	NC_010085.1	181608	181892	+	285	19	46	42	42	83	105	689	39	53
NMAR_RS01060	NC_010085.1	181928	182371	+	444	1	2	0	0	3	12	32	1	5
NMAR_RS01065	NC_010085.1	182361	182717	+	357	20	56	43	56	36	28	374	54	23
NMAR_RS01070	NC_010085.1	182783	184879	+	2097	2468	3148	2682	2122	3143	3549	29801	2288	2814
NMAR_RS01075	NC_010085.1	184953	186479	+	1527	5667	6842	6743	5508	5392	6239	56976	4483	4834
NMAR_RS01080	NC_010085.1	186634	187344	-	711	505	595	499	325	824	743	7625	453	743
NMAR_RS01085	NC_010085.1	187385	188155	-	771	2820	4086	2912	2315	2830	2235	36895	2118	2460
NMAR_RS01090	NC_010085.1	188271	188597	+	327	1967	2330	1907	1649	1766	1977	18791	1314	1370
NMAR_RS01095	NC_010085.1	188725	188796	+	72	0	2	14	0	0	5	46	2	3
NMAR_RS01100	NC_010085.1	188840	189199	+	360	1500	2291	1572	1544	1952	2142	21104	1231	1701
NMAR_RS01105	NC_010085.1	189221	189760	-	540	2450	1403	1221	1130	1370	1565	17919	1285	1279
NMAR_RS01110	NC_010085.1	190080	190358	+	279	2	0	4	0	2	4	10	10	2
NMAR_RS01115	NC_010085.1	190362	190625	-	264	159	134	100	82	234	148	1991	253	188
NMAR_RS01120	NC_010085.1	190720	192114	+	1395	634	888	797	539	748	807	6339	579	528
NMAR_RS01125	NC_010085.1	192117	192944	-	828	55	55	64	71	101	91	1376	109	39
NMAR_RS01130	NC_010085.1	192965	193582	-	618	16	15	9	0	12	11	229	14	12
NMAR_RS01135	NC_010085.1	193616	194686	+	1071	214	479	218	259	215	251	1780	192	235
NMAR_RS01140	NC_010085.1	194688	194885	-	198	69	190	132	75	118	92	1193	49	117
NMAR_RS01145	NC_010085.1	194923	195597	-	675	46	92	52	119	119	115	1564	71	89
NMAR_RS01150	NC_010085.1	195598	196557	-	960	1175	1457	803	854	2353	1864	21851	1604	1714
NMAR_RS01155	NC_010085.1	196558	196725	-	168	1633	2322	1524	1448	2956	3084	26528	2137	1871
NMAR_RS01160	NC_010085.1	196736	196972	-	237	1115	1517	1496	1020	2369	2344	21392	1299	1572
NMAR_RS01165	NC_010085.1	197030	197752	-	723	45	109	60	91	117	75	1547	84	61
NMAR_RS01170	NC_010085.1	197758	198600	-	843	216	315	179	164	372	352	2977	195	387
NMAR_RS01175	NC_010085.1	198653	198740	-	88	3	12	8	1	25	19	77	1	14
NMAR_RS01180	NC_010085.1	198788	200137	+	1350	114	272	192	154	227	258	2626	202	230
NMAR_RS01185	NC_010085.1	200199	200585	+	387	5915	7042	7075	5343	6676	8006	68660	5636	5310
NMAR_RS01190	NC_010085.1	200582	200794	+	213	68	116	115	85	127	148	1341	64	73
NMAR_RS01195	NC_010085.1	200804	201004	+	201	398	675	420	427	884	622	9511	370	511
NMAR_RS01200	NC_010085.1	201007	201408	+	402	294	525	383	337	632	618	5210	276	473
NMAR_RS01205	NC_010085.1	201415	203196	+	1782	974	1221	1030	981	1662	1688	17926	1387	1337
NMAR_RS01210	NC_010085.1	203199	203600	-	402	63	46	52	58	76	111	1103	42	66
NMAR_RS09630	NC_010085.1	203645	203791	-	147	15	11	0	19	12	5	182	32	4
NMAR_RS01215	NC_010085.1	203816	205486	-	1671	1935	2144	1986	1626	2833	2843	32173	2333	2134
NMAR_RS01220	NC_010085.1	205565	205981	-	417	28	50	15	15	22	20	423	60	33
NMAR_RS01225	NC_010085.1	206024	206416	-	393	116	166	64	105	170	213	1908	87	89
NMAR_RS01230	NC_010085.1	206555	207019	+	465	118	173	122	181	175	144	1406	100	108
NMAR_RS01235	NC_010085.1	207209	207385	-	177	48	60	32	50	124	107	1716	101	85
NMAR_RS01240	NC_010085.1	207468	208751	+	1284	343	383	209	298	477	514	5813	618	453
NMAR_RS01245	NC_010085.1	208732	209397	-	666	65	141	94	78	91	112	911	66	56
NMAR_RS01250	NC_010085.1	209508	209999	+	492	3593	5248	4810	3536	4389	5888	47651	2649	3660
NMAR_RS01255	NC_010085.1	210113	210649	+	537	41219	52365	42303	32476	44933	51699	414075	31396	42113
NMAR_RS01260	NC_010085.1	210730	210813	+	84	127	104	67	134	32	29	361	9	23
NMAR_RS01265	NC_010085.1	210817	211767	-	951	355	375	229	336	428	430	4340	454	345
NMAR_RS01270	NC_010085.1	211964	212482	+	519	256	252	196	223	280	262	2382	151	215
NMAR_RS01275	NC_010085.1	212475	214562	+	2088	2720	3440	3232	2541	3240	3332	31219	1990	2702
NMAR_RS01280	NC_010085.1	214559	216688	+	2130	569	696	381	462	298	349	2920	163	332
NMAR_RS01285	NC_010085.1	216685	217677	+	993	76	103	121	53	103	110	1408	69	80
NMAR_RS01290	NC_010085.1	217674	217904	+	231	204	92	59	78	37	42	465	87	46
NMAR_RS01295	NC_010085.1	217901	218377	-	477	170	225	168	107	161	202	1693	113	123
NMAR_RS01300	NC_010085.1	218381	218650	-	270	30	40	8	28	52	32	771	78	39
NMAR_RS01305	NC_010085.1	218647	219582	-	936	234	184	129	167	304	220	1695	224	212
NMAR_RS01310	NC_010085.1	219583	220500	-	918	271	282	326	277	331	361	3367	285	249
NMAR_RS01315	NC_010085.1	220541	221920	-	1380	13	29	8	0	44	47	528	10	18
NMAR_RS01320	NC_010085.1	221922	222851	-	930	219	234	228	166	397	475	2834	224	304
NMAR_RS01325	NC_010085.1	222904	223284	+	381	78	66	58	60	112	145	1938	233	154
NMAR_RS01330	NC_010085.1	223281	223886	-	606	69	39	99	42	90	127	853	78	85
NMAR_RS01335	NC_010085.1	223939	224784	-	846	386	735	642	379	991	893	8739	546	649
NMAR_RS01340	NC_010085.1	224909	224982	+	74	0	36	0	8	2	2	68	0	0
NMAR_RS10055	NC_010085.1	224986	225522	-	537	2	12	14	39	18	22	278	20	29
NMAR_RS01350	NC_010085.1	225638	225925	+	288	1853	2961	2436	1765	5056	4741	41407	1996	3390
NMAR_RS01355	NC_010085.1	225951	226799	-	849	546	466	596	361	579	609	6555	706	568
NMAR_RS01360	NC_010085.1	227020	227529	-	510	68	84	64	31	138	110	1443	68	59
NMAR_RS01365	NC_010085.1	227624	229336	+	1713	2516	3009	2462	2196	2385	2795	23578	1829	1885
NMAR_RS01370	NC_010085.1	229337	229768	+	432	332	420	461	440	566	705	6258	532	411
NMAR_RS01375	NC_010085.1	229770	230114	+	345	106	51	96	68	92	78	666	88	75
NMAR_RS01380	NC_010085.1	230117	230866	+	750	655	838	822	695	958	1149	9104	579	787
NMAR_RS01385	NC_010085.1	230863	231186	-	324	257	526	301	267	596	517	4106	207	534
NMAR_RS01390	NC_010085.1	231236	232693	+	1458	142	171	191	92	278	383	2408	193	256
NMAR_RS01395	NC_010085.1	232710	232783	-	74	16	10	4	19	2	4	0	4	2
NMAR_RS01400	NC_010085.1	232880	232957	+	78	164	160	184	391	126	85	1343	37	56
NMAR_RS01405	NC_010085.1	233074	233793	+	720	1734	2122	2038	1475	2798	2854	27502	1766	2262
NMAR_RS01410	NC_010085.1	233806	234882	+	1077	1346	1810	1630	1478	2054	2159	22388	2090	1623
